INDICATOR:,UNIT:,"Status of indicator (existing, proposed).",Availability of data: Indicator/Signal/Potential,Qualitative indicator,Boolean indicator (yes/No),Quantitative indicator,Temporal,Geographic,Recent year,EU,National,Regional/Cities,Products /  Companies,Description of the indicator/signal/potential,Methodological considerations,Required methodology,Headline,Societal Goals,Environmental,Economic,Social,Circularity,Agriculture,Forestry,Acquaculture,Secondary production systems,Waste and Circularity,Ecosystem conditions,Trade,Primary sectors,Stock,Processing/Manufacturing services,Users,Disposal/Cascading/Recycling/Reusing,Whole chain,SDG 1: No poverty,SDG 2: Zero hunger,SDG 3: Good health and well being,SDG 4: Quality education,SDG 5: Gender equality,SDG 6: Clean water and sanitation,SDG 7: Affordable and clean energy,SDG 8: Decent work and economic growth,"SDG 9: Industry, innovation and infrastructure",SDG 10: Reduced inequalities,SDG 11: Sustainable cities and communities,SDG 12: Responsible consumption and production,SDG 13: Climate action,SDG 14: Life below water,SDG 15: Life on land,"SDG 16: Peace, justice, and strong institutions",SDG 17: Partnerships for the goals,Source,Link to reference,Link to data
Total OGA output,€,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,"Total output coming from other gainful activities (OGA) directly related to the holding such as processing of farm products both, animal's and crop's, receipts from contract work, agritourism, production of renewable energy, forestry and other OGA.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,x,NA,NA,x,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Processing of animals and animals' products,€,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,"Output coming from processing of meat, cows' milk, buffalo's milk, sheep's milk, goat's milk and other animals' products.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,x,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Processing of crops,€,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,Output coming from processing of crops.,"FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,x,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Forestry and wood processing,€,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,"It covers sales of felled and standing timber, of forestry products other than timber (cork, poine raesin, etc.) and of processed wood.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,x,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Contractual work (services),€,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,Includes hiring out of equipment or agricultural contract work carried out by the labour force of the holding,"FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,x,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Agritourism,€,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,"Receipts from agritourism includes returns from board and lodging, campsites, cottages, riding facilities, hunting and fishing","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,x,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Other OGA output,€,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,Production of renewable energy and other OGA not included above.,"FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,x,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Farmhouse consumption,€,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,Value of agricultural (crop and animal) products consumed by the holder's family. It is taken into account in the amount of agricultural output.,"FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,x,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Farm use,€,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,"Value of products produced and used on the holding to obtain other final agricultural products or other recorded output. The products concerned are mainly crop products used as feed for animals held on the holding, and seeds and seedlings produced and used on the holding. These products are taken into account in the amount of agricultural output. Before 2014, the cost items relating to feedingstuffs and seeds account for the major part of that amount. From 2014, with a better separation of agriculture and OGA, the recorded cost items relating to OGA may become significant.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,x,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Total Inputs,€,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,"= Specific costs + Overheads + Depreciation + External factors.
Costs linked to the agricultural activity of the holding (incl. its OGA) and related to the output of the accounting year.
Included are amounts relating to inputs produced on the holding (farm use) = seeds and seedlings and feed for grazing stock and granivores, own inputs for OGA, but not manure.
When calculating FADN standard results, farm taxes and other dues are not included in the total for costs but are taken into account in the balance ""Subsidies and taxes"" (subsidies - taxes) on current and non-current operations.
The personal taxes of the holder are not to be recorded in the FADN accounts.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,x,NA,NA,x,NA,NA,NA,NA,NA,NA,x,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Total intermediate consumption,€,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,"Total specific costs (including inputs produced on the holding) and overheads arising from production in the accounting year.
= Specific costs + Overheads (incl. machinery costs).","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,x,NA,NA,x,NA,NA,NA,NA,NA,NA,x,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Total specific costs,€,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,"= Crop-specific inputs (seeds and seedlings, fertilisers, crop protection products, other specific crop costs), livestock-specific inputs (feed for grazing stock and granivores, other specific livestock costs) and specific OGA costs.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,x,NA,NA,x,NA,NA,NA,NA,NA,NA,x,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Specific crop costs / ha,€/ha,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,"Total specific crop costs i.e. seeds and plants (both, purchased and home-grown), fertilisers, crop protection products and other specific costs related to crop production / Total utilised agricultural area of holding.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,x,NA,NA,x,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Seeds and plants,€,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,Relates to agricultural and horticultural crops. New plantations of permanent crops and woodlands are considered as investments.,"FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,x,NA,NA,x,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Seeds and plants home-grown,€,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,Seeds and seedlings produced and used on the farm.,"FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,x,NA,NA,x,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Fertilisers,€,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,Purchased fertilisers and soil improvers (excluding those used for forests).,"FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,x,NA,NA,x,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Fertiliser N,q,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,Quantity of N in mineral fertilisers used.,"FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Fertiliser P,q,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,Quantity of P2O5 in mineral fertilisers used.,"FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Fertiliser K,q,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,Quantity of K2O in mineral fertilisers used.,"FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Crop protection,€,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,"Plant protection products, traps and baits, bird scarers, anti-hail shells, frost protection, etc. (excluding those used for forests).","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,x,NA,NA,x,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Other crop specific costs,€,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,"Including soil analysis, purchase of standing crops, renting crop land for a period of less than one year, minor purchase of crop products (grapes, etc.), costs incurred in the market preparation, storage, marketing of crops, etc.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,x,NA,NA,x,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Specific livestock costs / LU,€/LU,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,"Total specific livestock costs i.e. feedingstuffs, veterinary costs and other livestock specific costs / [ Number of equidae, cattle, sheep, goats, pigs and poultry present on holding (annual average), converted into livestock units. Not included are beehives, rabbits and other animals. Animals which do not belong to the holder but are held under a production contract are taken into account according to their annual presence]","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,x,NA,NA,x,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Feed for grazing livestock,€,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,"Concentrated feedingstuffs (including mineral licks and preservatives), coarse fodder, expenditure on the use of common grazing land, expenditure on agistment, cost of renting forage land not included in the UAA for equines, cattle, sheep and goats.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,x,NA,NA,x,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Feed for grazing livestock home-grown,€,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,Marketable farm products (including milk other than suckled) used as feedingstuffs for grazing stock.,"FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,x,NA,NA,x,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Feed for pigs and poultry,€,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,Feed for pigs and poultry.,"FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,x,NA,NA,x,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
