"INDICATOR:","UNIT:","Status of indicator (existing, proposed).","Availability of data: Indicator/Signal/Potential","Qualitative indicator","Boolean indicator (yes/No)","Quantitative indicator","Temporal","Geographic","Recent year","EU","National","Regional/Cities","Products /  Companies","Description of the indicator/signal/potential","Methodological considerations","Required methodology","Headline","Societal Goals","Environmental","Economic","Social","Circularity","Agriculture","Forestry","Acquaculture","Secondary production systems","Waste and Circularity","Ecosystem conditions","Trade","Primary sectors","Stock","Processing/Manufacturing services","Users","Disposal/Cascading/Recycling/Reusing","Whole chain","SDG 1: No poverty","SDG 2: Zero hunger","SDG 3: Good health and well being","SDG 4: Quality education","SDG 5: Gender equality","SDG 6: Clean water and sanitation","SDG 7: Affordable and clean energy","SDG 8: Decent work and economic growth","SDG 9: Industry, innovation and infrastructure","SDG 10: Reduced inequalities","SDG 11: Sustainable cities and communities","SDG 12: Responsible consumption and production","SDG 13: Climate action","SDG 14: Life below water","SDG 15: Life on land","SDG 16: Peace, justice, and strong institutions","SDG 17: Partnerships for the goals","Source","Link to reference","Link to data"
"Yield of maize","q / ha","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Production of grain maize in quintals/ha.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Stocking density","LU/ ha","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Density of ruminant grazing livestock: average number of LU of bovines, sheep and goats per hectare of forage UAA. Forage area includes fodder crops, agricultural fallows and land withdrawn from production (not cultivated, except in the exceptional cases of crops under set-aside schemes). Stocking density is calculated only for holdings with corresponding animals and with forage area.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Milk yield (incl. buffaloes')","kg/ cow","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Average production of milk and milk products (in milk equivalents) in kg per dairy cow. Production includes farmhouse consumption and farm use (distributed to animals). Holdings without dairy cows are excluded.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Milk yield cattle dairy cows","kg/ cow","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Average production of milk and milk products (in milk equivalents) in kg per cattle dairy cow. Production includes farmhouse consumption and farm use (distributed to animals). Holdings without dairy cows are excluded.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Milk yield buffalo dairy cows","kg/ cow","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Average production of milk and milk products (in milk equivalents) in kg per buffalo dairy cow. Production includes farmhouse consumption and farm use (distributed to animals). Holdings without buffalo dairy cows are excluded.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Total output","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Total value of output of crops and crop products, livestock and livestock products and of other output, including that of other gainful activities (OGA) of the farms.
Sales and use of (crop and livestock) products and livestock
+ change in stocks of products (crop and livestock)
+ change in valuation of livestock
-  purchases of livestock
+ various non-exceptional products.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Total output /Total input","ratio","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Total of output/[Specific costs + Overheads + Depreciation + External factors].
Costs linked to the agricultural activity of the holding (incl. its OGA and related to the output of the accounting year.
Included are amounts relating to inputs produced on the holding (farm use) = seeds and seedlings and feed for grazing stock and granivores, own inputs for OGA, but not manure.
When calculating FADN standard results, farm taxes and other dues are not included in the total for costs but are taken into account in the balance ""Subsidies and taxes"" (subsidies - taxes) on current and non-current operations.
The personal taxes of the holder are not to be recorded in the FADN accounts.
","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Total output crops and crop production","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"= Sales + farm use + farmhouse consumption + (closing valuation - opening valuation).","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Total crop output/ha","€/ha","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"= [Sales + farm use + farmhouse consumption + (closing valuation - opening valuation)]/ha (excluding area leased out for short period and area out of production).","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Cereals","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Cereals for the production of grain = Sales + farm use + farmhouse consumption + (closing valuation - opening valuation).","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Protein crops","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Peas, field beans, sweet lupins, lentils, chickpeas, vetches etc. grown for seed; not if harvested green (fodder). Does not include vegetables or soya.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Energy crops","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"All crops produced for energy purpose.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Potatoes","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Including early potatoes and seed.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Sugar beet","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Not including the value of tops but including that of pulp returned to the holder or sold by him to the sugar beet factory.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Oil-seed crops","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Oil seed and fibre crops (excluding cotton).","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Industrial crops","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Hops, tobacco, other industrial crops (including medicinal plants, aromatic plants, condiments and spices, cotton and sugar cane, fibre flax and hemp).","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Vegetables & flowers","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Fresh vegetables, melons, watermelons, strawberries, pineapples, flowers and ornamental plants (grown in the open or under shelter). Included is the output from mushrooms (but the area under mushrooms is not included in SE046).","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Fruit","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Fruit trees and berries grown in the open (including tropical fruit), excluding citrus fruit orchards and grapes.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Citrus fruit","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Oranges, tangerines and mandarins, clementines, lemons and other citrus fruit.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Wine and grapes","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Table grapes, grapes for quality/table wine, miscellaneous products of vines (grape must, etc.), wine, vine by-products (marc, lee, etc.) and raisins.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Olives & olive oil","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Table olives, olives for oil production, olive oil and by-products of olive groves.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Forage crops","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Fodder roots and brassicas (mangolds), other fodder plants, temporary grass, meadows and permanent pastures, rough grazing, fallows and set-aside land.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Other crop output","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Seeds and seedlings (of grasses, arable and horticultural crops, excluding cereals, pulses, potatoes and oil seed plants), other arable crops (not covered by specific headings), permanent crops grown under shelter.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Total output livestock and livestock products","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"= Livestock production + change in livestock value + animal products.
Livestock production = Sales + Household consumption - Purchases
It is calculated for equines, cattle, sheep, goats, pigs, poultry and other animals.
Change in livestock valuation = value at closing valuation - value at opening valuation. For animals which are present on the holding for more than one year, the value corresponding to the increase in volume is estimated.
Animal products = Sales + Household consumption + Farm use + (Closing valuation - Opening valuation).
The products are: milk and milk products from cows, ewes, goats, wool, hens' eggs, other animal products (stud fees, manure, other eggs, etc.) and receipts from animals reared under a service contract (animals not owned by farmer) and honey.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
