INDICATOR:;UNIT:;Status of indicator (existing, proposed).;Availability of data: Indicator/Signal/Potential;Qualitative indicator;Boolean indicator (yes/No);Quantitative indicator;Temporal;Geographic;Recent year;EU;National;Regional/Cities;Products /  Companies;Methodological considerations;Required methodology;Headline;Societal Goals;Environmental;Economic;Social;Circularity;Agriculture;Forestry;Acquaculture;Secondary production systems;Waste and Circularity;Ecosystem conditions;Trade;Primary sectors;Stock;Processing/Manufacturing services;Users;Disposal/Cascading/Recycling/Reusing;Whole chain;SDG 1: No poverty;SDG 2: Zero hunger;SDG 3: Good health and well being;SDG 4: Quality education;SDG 5: Gender equality;SDG 6: Clean water and sanitation;SDG 7: Affordable and clean energy;SDG 8: Decent work and economic growth;SDG 9: Industry, innovation and infrastructure;SDG 10: Reduced inequalities;SDG 11: Sustainable cities and communities;SDG 12: Responsible consumption and production;SDG 13: Climate action;SDG 14: Life below water;SDG 15: Life on land;SDG 16: Peace, justice, and strong institutions;SDG 17: Partnerships for the goals;Source;Link to reference;Link to data
Processing of animals and animals products;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Processing of crops;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Forestry and wood processing;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Contractual work (services);€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Agritourism;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Other OGA output;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Farmhouse consumption;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Farm use;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Total Inputs;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;x;;x;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Total intermediate consumption;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;x;;x;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Total specific costs;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;x;;x;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Specific crop costs / ha;€/ha;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Seeds and plants;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Seeds and plants home-grown;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Fertilisers;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Fertiliser N;q;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO2 Managing Natural Resources Sustainably;x;;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Fertiliser P;q;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO2 Managing Natural Resources Sustainably;x;;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Fertiliser K;q;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO2 Managing Natural Resources Sustainably;x;;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Crop protection;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Other crop specific costs;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Specific livestock costs / LU;€/LU;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Feed for grazing livestock;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Feed for grazing livestock home-grown;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Feed for pigs and poultry;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Feed for pigs and poultry home-grown;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Other livestock specific costs, incl. veterinary expenses;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Veterinary expenses;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
All specific costs for other gainful activities;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Milk processing specific cost;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Cows milk processing specific cost;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Meat processing specific cost;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Forestry specific costs;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Total farming overheads;€;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
